time,lat,lon,alt,vn,ve,vd,GPS_TOW,theta,p_bias,q_bias,r_bias,ax_bias,ay_bias,az_bias,navvd
151.9,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5261446,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.554989
151.92,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5265555,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.554047
151.94,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52698934,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5511317
151.96,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52713335,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5531173
151.98,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5272803,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5529716
152.0,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5272976,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.554055
152.02,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5275097,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5515463
152.04,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5274479,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5510767
152.06,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5275764,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.555049
152.08,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.527455,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5545006
152.1,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5274762,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5557854
152.12,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5274598,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.555791
152.14,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52757597,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5537481
152.16,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5275406,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5489697
152.18,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5276505,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5480933
152.2,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.527868,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5438488
